timestamp,status,confidence,ground_truth
1772803208.9875703,CALIBRATING,0.0,0
1772803209.0337262,CALIBRATING,0.0,0
1772803209.0533705,CALIBRATING,0.0,0
1772803209.0950363,CALIBRATING,0.0,0
1772803209.1139305,CALIBRATING,0.0,0
1772803209.157595,CALIBRATING,0.0,0
1772803209.1761222,CALIBRATING,0.0,0
1772803209.2223325,CALIBRATING,0.0,0
1772803209.2349207,CALIBRATING,0.0,0
1772803209.2881508,CALIBRATING,0.0,0
1772803209.3119702,CALIBRATING,0.0,0
1772803209.350938,CALIBRATING,0.0,0
1772803209.3770292,CALIBRATING,0.0,0
1772803209.430481,CALIBRATING,0.0,0
1772803209.4543319,CALIBRATING,0.0,0
1772803209.4963908,CALIBRATING,0.0,0
1772803209.5071611,CALIBRATING,0.0,0
1772803209.5602078,CALIBRATING,0.0,0
1772803209.5757143,CALIBRATING,0.0,0
1772803209.6241975,CALIBRATING,0.0,0
1772803209.6397374,CALIBRATING,0.0,0
1772803209.687781,CALIBRATING,0.0,0
1772803209.7019968,CALIBRATING,0.0,0
1772803209.7506344,CALIBRATING,0.0,0
1772803209.7619238,CALIBRATING,0.0,0
1772803209.831649,CALIBRATING,0.0,0
1772803209.857784,CALIBRATING,0.0,0
1772803209.8956096,CALIBRATING,0.0,0
1772803209.9198642,CALIBRATING,0.0,0
1772803209.9595938,CALIBRATING,0.0,0
1772803210.1930163,CALIBRATING,0.0,0
1772803210.2343516,CALIBRATING,0.0,0
1772803210.2457416,CALIBRATING,0.0,0
1772803210.3010354,CALIBRATING,0.0,0
1772803210.3227656,CALIBRATING,0.0,0
1772803210.3617332,CALIBRATING,0.0,0
1772803210.3837702,CALIBRATING,0.0,0
1772803210.420135,CALIBRATING,0.0,0
1772803210.443452,CALIBRATING,0.0,0
1772803210.4868832,CALIBRATING,0.0,0
1772803210.506625,CALIBRATING,0.0,0
1772803210.5519946,CALIBRATING,0.0,0
1772803210.5701973,CALIBRATING,0.0,0
1772803210.6310873,CALIBRATING,0.0,0
1772803210.6469865,CALIBRATING,0.0,0
1772803210.6955292,CALIBRATING,0.0,0
1772803210.7087295,CALIBRATING,0.0,0
1772803210.7603364,CALIBRATING,0.0,0
1772803210.785317,CALIBRATING,0.0,0
1772803210.8235502,CALIBRATING,0.0,0
1772803210.8494866,CALIBRATING,0.0,0
1772803210.887467,CALIBRATING,0.0,0
1772803210.911693,CALIBRATING,0.0,0
1772803210.9528284,CALIBRATING,0.0,0
1772803210.9724267,CALIBRATING,0.0,0
1772803211.0321121,CALIBRATING,0.0,0
1772803211.049969,CALIBRATING,0.0,0
1772803211.0937228,CALIBRATING,0.0,0
